province,year,CO2,GDP,Population,Energy,Industry,S,Urbanization,A,B,C,CO2_source
InnerMongolia,2003,150.88,2388.38,2386.0,7890.436912977772,45.29059,0.45290590000000003,42.392052937922834,1.0009974853310981,7.294401224591379,0.019121881546488327,MEIC_1990_2022
Jiangsu,2003,254.455,12442.87,7458.0,12961.178434043037,54.46756,0.5446756,44.24683395515534,1.668392330383481,1.9124320145546345,0.019632088339410877,MEIC_1990_2022
Jiangxi,2003,83.277,2807.41,4254.0,2096.503852646639,43.36327,0.4336327,38.459215749368816,0.6599459332393042,1.722137396495312,0.03972184448641514,MEIC_1990_2022
Jilin,2003,108.323,2662.08,2704.0,9854.022874823428,45.32549,0.4532549,41.612502392222964,0.9844970414201183,8.166763059156233,0.010992769285807145,MEIC_1990_2022
Liaoning,2003,231.957,6002.54,4210.0,17129.324648619557,48.29439,0.4829439,45.21223347473809,1.4257814726840854,5.908925206076257,0.01354151461065882,MEIC_1990_2022
Ningxia,2003,35.895,445.36,580.0,2428.4185146882146,49.82613,0.4982613,40.22405053605832,0.7678620689655172,10.943472987665594,0.014781224810670072,MEIC_1990_2022
Qinghai,2003,20.511,390.2,534.0,451.7530759130185,47.22073,0.47220730000000005,38.496394873114156,0.7307116104868914,2.451778072090938,0.0454031219567152,MEIC_1990_2022
Shaanxi,2003,89.518,2587.72,3672.0,2613.143191363411,47.25963,0.4725963,39.13266954464409,0.7047167755991285,2.1367593285056463,0.03425682920701099,MEIC_1990_2022
Shandong,2003,362.435,12078.15,9125.0,12537.759856247922,53.52917,0.5352917,40.524448704352935,1.3236328767123287,1.939228650815591,0.02890747662704581,MEIC_1990_2022
Shanghai,2003,131.069,6694.23,1766.0,5815.223250984475,50.08503,0.5008503000000001,54.92161245735805,3.790617214043035,1.734434183358593,0.022538945513022386,MEIC_1990_2022
Shanxi,2003,262.024,2855.23,3314.0,8405.411829279661,56.55522,0.5655522,39.872098299370705,0.8615660832830416,5.205293265421209,0.031173249487581062,MEIC_1990_2022
Sichuan,2003,174.82,5333.09,8176.0,5676.158792367907,41.53092,0.41530920000000004,36.82232203342575,0.6522859589041096,2.5627371932747955,0.0307989974197094,MEIC_1990_2022
Tianjin,2003,67.142,2578.03,1011.0,6879.890051911246,50.87676,0.5087676,51.51770443261151,2.5499802176063304,5.245345321157899,0.00975916758747443,MEIC_1990_2022
Tibet,2003,1.269,189.09,272.0,0.0,26.01084,0.2601084,29.456925158842107,0.6951838235294118,0.0,inf,MEIC_1990_2022
Xinjiang,2003,82.538,1886.35,1934.0,7156.092432963375,42.43906,0.42439059999999995,37.37658404047001,0.9753619441571871,8.938978839377347,0.0115339482787844,MEIC_1990_2022
Yunnan,2003,96.649,2556.02,4376.0,2068.326622788415,43.3738,0.433738,34.7020889996971,0.584099634369287,1.8656380977819316,0.046728112927204225,MEIC_1990_2022
Zhejiang,2003,163.106,9705.02,4857.0,12732.097555295679,52.5918,0.525918,44.60183760124398,1.9981511220918262,2.494511369471659,0.012810615006021462,MEIC_1990_2022
Anhui,2004,164.799,4759.32,6228.0,7116.856563136856,45.08548,0.45085479999999994,33.5,0.7641811175337186,3.316703193761803,0.023156150266342098,MEIC_1990_2022
Beijing,2004,89.935,6060.28,1493.0,9223.946698146652,37.59639,0.3759639,55.30483763381472,4.059129269926323,4.048349031847128,0.00975016475518776,MEIC_1990_2022
