province,year,base_year,delta_CO2,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio,delta_P,delta_A,delta_B,delta_C
Guizhou,2016,2015,23.834000000000003,2.0961010704922955e-13,8.794583664060986e-15,8.794583664060986e-15,3.1565856988267598,23.828839724912992,-21.502200215472985,18.350774791733027
Guizhou,2017,2016,8.844000000000023,-4.085620730620576e-14,4.619652567413575e-15,4.619652567413575e-15,3.001794979136596,32.19858102335736,-30.52294272339156,4.166566720897661
Guizhou,2018,2017,0.9269999999999641,-7.37188088351104e-14,7.952406562579638e-14,7.952406562579638e-14,1.2812491325122872,21.690880817039858,-29.219760857674355,7.174630908122249
Guizhou,2019,2018,11.0,5.5067062021407764e-14,5.006096547400706e-15,5.006096547400706e-15,1.7831774336942163,30.959713346169405,-26.47175686953363,4.7288660896699515
Guizhou,2020,2019,2.6620000000000346,1.199040866595169e-14,4.504285749793965e-15,4.504285749793965e-15,0.7004540966861994,15.79956407427975,-14.90553326312293,1.067515092157001
Guizhou,2021,2020,2.3349999999999795,-1.5987211554602254e-14,6.846771543726936e-15,6.846771543726936e-15,-0.4239437928872812,26.06778327480701,-14.035857071016194,-9.272982410903538
Guizhou,2022,2021,0.036000000000001364,2.078337502098293e-13,5.773159728050595e-12,5.773159728050595e-12,0.28393463846562567,7.675105830133276,-17.371687721666735,9.448647253067627
Guizhou,2023,2022,5.601999999999975,-2.4158453015843406e-13,4.3124692995079456e-14,4.3124692995079456e-14,0.6443274100040595,9.43160279942498,5.140728725131028,-9.61465893455985
Hainan,1991,1990,0.2560000000000002,1.6653345369377348e-16,6.505213034913021e-16,6.505213034913021e-16,0.036588691605123576,0.32529760486591847,-0.06710488480395121,-0.03878141166709076
Hainan,1992,1991,0.5419999999999998,1.1102230246251565e-16,2.048381964253057e-16,2.048381964253057e-16,0.046159683308412844,1.0734798358232651,-0.7814179690119988,0.2037784498803206
Hainan,1993,1992,0.3770000000000002,-6.106226635438361e-16,1.6196887627157447e-15,1.6196887627157447e-15,0.06663539454334316,0.9880336098515848,-0.6663792120213428,-0.011289792373584446
Hainan,1994,1993,0.06000000000000005,2.220446049250313e-16,3.7007434154171856e-15,3.7007434154171856e-15,0.04678419822040523,0.7449778299918325,-0.3862456793986055,-0.3455163488136324
Hainan,1995,1994,1.274,-1.1102230246251565e-15,8.714466441327759e-16,8.714466441327759e-16,0.0713106793631209,0.29520493188852565,0.10383813812034752,0.8036462506280071
Hainan,1996,1995,0.4219999999999997,8.881784197001252e-16,2.1046881983415306e-15,2.1046881983415306e-15,0.0660492968554949,0.27026078672577086,0.22339530783477823,-0.1377053914160452
Hainan,1997,1996,0.9199999999999999,-1.3322676295501878e-15,1.4481169886415087e-15,1.4481169886415087e-15,0.06673763456348913,0.21185892255337288,-1.949143785241472,2.590547228124611
