province,year,base_year,delta_CO2,delta_P,delta_A,delta_B,delta_C,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio
Jiangxi,2015,2014,10.149000000000001,0.2116165949594472,11.596110222066276,-0.1485068720461519,-1.5102199449794484,-1.2079226507921703e-13,1.1901888371190957e-14,1.1901888371190957e-14
Jiangxi,2016,2015,4.131,0.4823106856120296,19.38117023982731,-16.989498479712868,1.2570175542734563,7.105427357601002e-14,1.720025988283951e-14,1.720025988283951e-14
Jiangxi,2017,2016,12.526999999999987,0.6833516839635009,15.38741915285968,-8.153651843809563,4.609881006986455,-8.526512829121202e-14,6.806508205572931e-15,6.806508205572931e-15
Jiangxi,2018,2017,3.3389999999999986,0.09448455002699266,20.006803429771352,-17.11650458848499,0.3542166086867142,-7.238654120556021e-14,2.1679107878275003e-14,2.1679107878275003e-14
Jiangxi,2019,2018,7.425000000000011,0.14521374533344958,25.810465924868875,-19.980711244228694,1.4500315740263177,6.217248937900877e-14,8.37339924296413e-15,8.37339924296413e-15
Jiangxi,2020,2019,-0.8520000000000039,0.14731360406653413,8.067423739375094,-9.198813734031267,0.1320763905895585,7.638334409421077e-14,8.965181231714838e-14,8.965181231714838e-14
Jiangxi,2021,2020,6.068000000000012,-0.0993467603285672,32.030324019585706,-27.66783121496231,1.8048539557052319,-4.796163466380676e-14,7.904026806823775e-15,7.904026806823775e-15
Jiangxi,2022,2021,6.111999999999995,0.5606767715527972,17.7947030868382,-8.259427884002532,-3.9839519743883898,-7.993605777301127e-14,1.307854348380421e-14,1.307854348380421e-14
Jiangxi,2023,2022,9.324999999999989,-0.6849079279063857,1.6144272590615385,25.711956203246018,-17.316475534401274,9.237055564881302e-14,9.90568961381374e-15,9.90568961381374e-15
Jilin,1991,1990,4.385999999999996,0.7719066455045669,5.600443670721914,6.444983993945497,-8.431334310172048,6.572520305780927e-14,1.4985226415369206e-14,1.4985226415369206e-14
Jilin,1992,1991,4.728000000000009,0.7177666654468382,13.890850094664053,-1.5688082447831715,-8.311808515327671,-3.907985046680551e-14,8.265619811084061e-15,8.265619811084061e-15
Jilin,1993,1992,8.710999999999999,0.7715827247714337,20.799833111111738,-8.039329929815331,-4.821085906067832,-1.0658141036401503e-14,1.2235266945702566e-15,1.2235266945702566e-15
Jilin,1994,1993,3.1089999999999947,0.6764436790257393,23.534151927462162,-10.387152463861236,-10.714443142626669,0.0,0.0,0.0
Jilin,1995,1994,2.075000000000003,0.6543488422553435,17.552820697405554,-4.665470597383167,-11.466698942277688,-4.263256414560601e-14,2.0545814046075158e-14,2.0545814046075158e-14
Jilin,1996,1995,6.674999999999997,0.6798622837147059,15.230302130044816,-2.448563124261353,-6.786601289498257,8.615330671091215e-14,1.2906862428601077e-14,1.2906862428601077e-14
Jilin,1997,1996,-0.5099999999999909,0.6966335748964964,7.298858085965743,42.784309840173606,-51.28980150103582,-2.1316282072803006e-14,4.179663151530076e-14,4.179663151530076e-14
Jilin,1998,1997,-14.664000000000001,0.5680235587966813,6.341244282854235,-18.859481457016972,-2.713786384633944,0.0,0.0,0.0
Jilin,1999,1998,3.042999999999992,0.464486999817129,5.630564471024787,-11.829434481359197,8.777383010517296,-2.220446049250313e-14,7.296897960073345e-15,7.296897960073345e-15
Jilin,2000,1999,-0.8739999999999952,0.8004214355331601,6.940373459546332,-3.2271165353384554,-5.3876783597409945,-3.6415315207705135e-14,4.16651203749489e-14,4.16651203749489e-14
Jilin,2001,2000,6.382999999999996,0.3074190602623004,13.64913935352494,-12.774681239112262,5.201122825324986,2.930988785010413e-14,4.591867123625905e-15,4.591867123625905e-15
Jilin,2002,2001,8.186000000000007,0.2939656839587319,9.828117775890695,-4.962003696660185,3.0259202368108036,-3.730349362740526e-14,4.5569867612271226e-15,4.5569867612271226e-15
