level,scenario,province,province_id,year,energy_pred,co2_pred
province,baseline,Tianjin,26,2027,11021.61975445712,15745.680964630637
province,baseline,Tianjin,26,2028,11391.794072251134,16209.357481689669
province,baseline,Tianjin,26,2029,11710.771275394176,16222.435976715913
province,baseline,Tianjin,26,2030,12037.485140650202,16221.927930622254
province,baseline,Tianjin,26,2031,12147.37073868642,15902.945301618867
province,baseline,Tianjin,26,2032,12287.047168132667,15613.368206628647
province,baseline,Tianjin,26,2033,12448.393258456006,15339.752817187657
province,baseline,Tianjin,26,2034,12625.650840107686,15072.725333238683
province,baseline,Tianjin,26,2035,12815.041080720523,14806.084423430266
province,baseline,Xinjiang,27,2024,25359.829251495416,28327.125264341797
province,baseline,Xinjiang,27,2025,26304.59681219214,29205.407994617613
province,baseline,Xinjiang,27,2026,27285.683427132095,30138.61250359491
province,baseline,Xinjiang,27,2027,28306.344992165228,31104.07982995848
province,baseline,Xinjiang,27,2028,29219.06629062213,31939.879369017413
province,baseline,Xinjiang,27,2029,29997.741236151633,31661.94777649304
province,baseline,Xinjiang,27,2030,30793.804189985876,31343.095704943178
province,baseline,Xinjiang,27,2031,30727.11945655866,30093.763724249246
province,baseline,Xinjiang,27,2032,30823.85318969372,29003.32640025848
province,baseline,Xinjiang,27,2033,31039.93525185839,28013.160654541633
province,baseline,Xinjiang,27,2034,31342.967535784344,27081.506470337154
province,baseline,Xinjiang,27,2035,31708.10363145714,26177.821248362634
province,baseline,Yunnan,28,2024,13775.731469667586,22808.884888841418
province,baseline,Yunnan,28,2025,14313.411939285043,23602.809038113668
province,baseline,Yunnan,28,2026,14873.769026021506,24441.75963149144
province,baseline,Yunnan,28,2027,15457.598620955654,25312.737368432277
province,baseline,Yunnan,28,2028,15984.31921938819,26083.84337888169
province,baseline,Yunnan,28,2029,16438.848991435236,26206.80473584122
province,baseline,Yunnan,28,2030,16903.861781250893,26311.86653238929
province,baseline,Yunnan,28,2031,17106.06355119113,25968.877473448632
province,baseline,Yunnan,28,2032,17332.48236256755,25646.172073665053
province,baseline,Yunnan,28,2033,17577.36018947194,25332.65837570617
